game_date,player_name,team,opponent,minutes,points,rebounds,assists,field_goals_attempted,field_goals_made,three_pa,three_pm,free_throws_attempted,free_throws_made
2024-01-05,Franz Wagner,Nuggets,Celtics,29.4,15,7.4,4.9,15,6,2,0,5,3
2024-01-06,Gordon Hayward,Clippers,Warriors,28.5,12,6.4,4.3,8,3,3,1,4,3
2024-01-06,Jerami Grant,Bulls,76ers,31.7,15,4.6,5.1,13,6,3,1,1,0
2024-01-06,Jrue Holiday,Cavaliers,Heat,29.9,13,6.4,2.0,14,5,2,0,4,3
2024-01-06,Alperen Sengun,Cavaliers,Suns,27.2,14,6.4,3.2,12,4,4,1,4,3
2024-01-06,Joel Embiid,Heat,Nuggets,35.7,36,9.5,7.7,23,10,10,3,9,7
2024-01-06,Jamal Murray,Suns,Spurs,23.0,17,7.9,3.2,15,7,6,1,1,0
2024-01-06,Dwight Powell,Celtics,Spurs,16.6,6,3.5,2.4,6,2,2,0,4,2
2024-01-06,JaVale McGee,Clippers,Suns,15.4,9,5.3,1.5,9,3,0,0,4,3
2024-01-06,Andrew Wiggins,Lakers,Bucks,31.9,17,7.2,4.5,14,6,7,2,2,1
2024-01-06,Frank Ntilikina,Bucks,76ers,11.4,2,2.9,1.0,3,1,3,0,1,0
2024-01-06,A.J. Lawson,Cavaliers,Nets,12.2,11,5.4,2.6,10,4,0,0,2,1
2024-01-06,Damian Lillard,Warriors,Bucks,31.2,38,8.6,5.4,19,10,12,5,4,3
2024-01-06,Stephen Curry,Suns,Celtics,40.0,35,10.7,6.0,17,8,11,4,9,7
2024-01-06,Marcus Smart,Cavaliers,Heat,23.6,20,3.6,4.4,11,5,6,2,6,4
2024-01-06,Kyle Kuzma,Raptors,Celtics,22.4,9,7.0,4.7,9,4,2,0,2,1
2024-01-07,Brandon Ingram,Nuggets,Raptors,26.9,14,4.2,3.5,8,3,6,1,6,4
2024-01-07,Jalen Green,Suns,Mavericks,26.0,20,7.1,2.2,15,7,7,2,1,0
2024-01-07,JaVale McGee,Mavericks,Cavaliers,17.2,9,3.3,3.2,6,2,3,1,0,0
2024-01-07,Trae Young,76ers,Bulls,34.1,30,8.9,4.3,21,9,8,2,8,6
2024-01-07,Luka Doncic,Clippers,Suns,34.2,29,10.9,7.7,15,6,10,3,10,8
2024-01-07,Trae Young,Bucks,Warriors,34.8,20,5.2,7.7,17,7,5,1,4,3
2024-01-07,Jaren Jackson Jr.,Nets,Bulls,24.2,12,3.6,3.7,10,4,4,1,2,1
2024-01-07,Yuta Watanabe,Lakers,Warriors,6.9,4,2.1,1.7,3,1,0,0,3,2
2024-01-07,Jaren Jackson Jr.,Nuggets,Mavericks,22.4,11,3.2,2.5,12,5,2,0,2,1
2024-01-07,Kai Jones,Raptors,Mavericks,8.6,7,1.7,2.3,5,2,5,1,1,0
2024-01-08,Scottie Barnes,Bulls,76ers,24.2,11,4.5,5.2,9,4,5,1,2,1
2024-01-08,Jaylen Brown,Mavericks,Clippers,32.4,42,11.6,9.8,22,10,12,4,12,10
2024-01-08,Mikal Bridges,Bulls,Nets,30.0,21,5.3,4.6,14,6,7,2,5,3
2024-01-08,Terry Rozier,Suns,Bucks,26.2,14,7.2,4.8,10,4,6,2,1,0
2024-01-08,Luka Doncic,Bucks,Warriors,34.1,34,7.5,4.1,17,8,11,4,9,6
2024-01-08,Theo Maledon,Raptors,Suns,6.5,9,5.7,2.3,10,4,2,0,2,1
2024-01-08,Joel Embiid,Raptors,Bucks,38.9,30,11.0,5.8,16,8,8,2,10,8
2024-01-09,Khris Middleton,Cavaliers,Suns,26.4,16,6.1,2.7,13,6,5,1,2,1
2024-01-09,Myles Turner,Cavaliers,Bucks,28.2,14,5.6,3.7,13,5,2,0,6,4
2024-01-09,Tyrese Maxey,Celtics,Cavaliers,30.3,14,4.7,5.0,13,5,4,1,3,2
2024-01-09,Kendall Brown,Raptors,Nets,11.7,4,2.3,1.4,5,1,0,0,4,2
2024-01-09,Kyle Kuzma,Bucks,Clippers,24.2,10,7.4,5.4,9,3,3,1,2,1
2024-01-09,Jamal Murray,Suns,Nuggets,22.8,14,3.1,3.4,8,3,7,2,3,2
2024-01-09,Nic Claxton,Bulls,Spurs,23.3,16,3.1,3.0,14,6,3,1,4,2
2024-01-09,Jalen Brunson,Bucks,Spurs,22.0,11,4.8,3.7,8,3,3,1,3,2
2024-01-09,Darius Bazley,Mavericks,Clippers,19.7,6,2.2,1.9,10,4,3,0,1,0
2024-01-09,Jeremy Sochan,Raptors,Lakers,12.2,4,3.1,3.4,10,3,1,0,0,0
2024-01-09,Jeremy Sochan,Bucks,Nuggets,11.6,4,4.3,3.1,4,1,1,0,4,3
2024-01-09,Kendall Brown,Heat,Warriors,12.6,7,4.1,3.9,8,3,1,0,2,1
2024-01-09,Jerami Grant,Heat,Raptors,34.2,16,4.0,4.8,8,3,7,2,6,5
2024-01-09,Kai Jones,Nuggets,76ers,14.1,6,4.2,1.8,9,3,0,0,3,1
2024-01-09,Jusuf Nurkic,Bulls,Clippers,24.0,13,6.6,4.4,10,4,3,1,3,2
2024-01-09,Jerami Grant,Raptors,Nets,33.9,19,6.5,2.1,12,5,6,2,4,3
2024-01-09,Jusuf Nurkic,76ers,Bulls,24.7,16,5.7,4.7,14,5,4,1,4,3
2024-01-10,Wesley Matthews,Bulls,Suns,14.5,2,5.6,1.6,3,1,0,0,1,0
2024-01-10,Bradley Beal,Heat,Bucks,30.8,14,7.9,4.4,14,6,2,0,2,1
2024-01-10,Devin Booker,Lakers,Bulls,33.7,38,5.9,7.9,21,11,9,3,10,7
2024-01-10,Cam Johnson,Cavaliers,Spurs,22.5,16,6.7,4.2,14,5,4,1,4,3
2024-01-10,Udoka Azubuike,Heat,Raptors,21.2,5,2.1,1.9,5,1,5,1,1,0
2024-01-10,Bobby Portis,Heat,Nets,24.8,19,6.9,5.4,13,5,4,1,5,4
2024-01-10,Devin Booker,Mavericks,Bucks,35.1,41,8.3,6.3,20,10,12,5,8,6
2024-01-10,Jimmy Butler,Raptors,Bucks,32.3,25,9.5,7.4,16,8,5,1,8,6
2024-01-10,Zach LaVine,Raptors,Celtics,28.6,19,6.1,3.4,13,6,4,1,5,4
2024-01-10,Pascal Siakam,Spurs,Suns,20.5,16,7.7,3.0,14,6,5,1,2,1
2024-01-10,Pascal Siakam,Nets,76ers,20.0,22,6.2,4.0,14,6,7,2,6,4
2024-01-10,AJ Green,Nets,Lakers,16.8,7,5.4,2.6,7,3,1,0,3,1
2024-01-10,Andrew Wiggins,Raptors,Lakers,34.1,13,5.3,5.2,11,5,4,1,1,0
2024-01-10,Joel Embiid,Bulls,Heat,40.5,33,10.3,6.7,24,10,7,2,9,7
2024-01-11,Jimmy Butler,Celtics,Clippers,33.0,35,9.7,8.7,21,9,9,3,10,8
2024-01-11,Anthony Davis,Mavericks,Bucks,36.6,38,5.5,8.6,22,10,12,4,8,6
2024-01-11,Herbert Jones,Clippers,Nuggets,22.6,18,7.9,3.8,11,5,7,2,3,2
2024-01-11,Jeremy Sochan,Lakers,Warriors,12.4,7,1.7,3.8,6,2,1,0,4,3
2024-01-11,Paul George,Mavericks,Raptors,30.0,17,5.3,2.3,15,6,4,1,5,4
2024-01-11,Julius Randle,Heat,Spurs,26.2,14,3.9,4.7,11,4,5,1,4,3
2024-01-11,Pascal Siakam,Heat,Nets,22.8,20,5.2,2.9,14,5,7,2,6,4
2024-01-11,Bryce McGowens,Nets,Clippers,18.9,9,2.0,0.7,10,3,3,1,0,0
2024-01-11,Victor Wembanyama,Nuggets,Celtics,22.4,14,3.6,2.1,10,4,3,1,5,4
2024-01-11,Maxi Kleber,Bucks,Warriors,14.3,3,3.9,0.1,4,1,0,0,2,1
2024-01-11,Malcolm Brogdon,Cavaliers,Heat,29.4,11,7.7,4.8,13,5,2,0,2,1
2024-01-11,Jusuf Nurkic,Clippers,Cavaliers,24.4,11,5.7,5.3,9,3,5,1,4,2
2024-01-11,Terry Rozier,Nuggets,Lakers,29.8,11,4.5,4.3,9,4,3,0,4,3
2024-01-11,Khris Middleton,Celtics,Nuggets,27.6,19,3.9,4.8,9,4,6,2,4,3
2024-01-12,Jaren Jackson Jr.,Spurs,Mavericks,23.3,16,3.1,4.5,11,5,6,2,1,0
2024-01-12,Jarrett Allen,Mavericks,Bulls,27.4,15,7.9,3.0,8,3,7,2,4,3
2024-01-12,Amari Bailey,Spurs,Heat,11.4,7,1.1,1.7,3,1,4,1,4,2
2024-01-12,Josh Giddey,Nets,Bucks,29.6,16,7.1,5.8,11,5,3,1,5,3
2024-01-12,Tyrese Haliburton,Bulls,Celtics,30.0,20,5.6,4.2,12,4,6,2,6,4
2024-01-12,Lou Dort,Nets,Celtics,25.9,13,6.7,2.6,8,3,3,1,5,4
2024-01-12,Cade Cunningham,Bulls,Lakers,30.7,13,4.9,5.7,13,6,2,0,2,1
2024-01-13,Maxi Kleber,Cavaliers,Nets,17.1,9,2.6,3.4,9,3,5,1,3,2
2024-01-13,Lou Dort,Nuggets,Spurs,27.8,13,6.6,4.8,9,3,6,1,6,4
2024-01-13,Bojan Bogdanovic,Raptors,Celtics,26.6,15,7.1,3.0,8,3,7,2,5,3
2024-01-13,JaVale McGee,Bulls,Clippers,15.1,4,3.2,0.2,6,2,0,0,0,0
2024-01-13,Zion Williamson,Lakers,Cavaliers,29.6,16,5.1,5.9,15,6,2,0,5,4
2024-01-13,Mikal Bridges,Clippers,76ers,27.6,13,4.8,4.7,11,4,4,1,3,2
2024-01-13,Kristaps Porzingis,Heat,Clippers,26.7,14,5.9,2.2,12,5,5,1,2,1
2024-01-13,Luka Doncic,Mavericks,Clippers,34.5,37,9.6,8.3,21,11,8,3,9,7
2024-01-14,JT Thor,Warriors,Bucks,17.9,7,3.9,3.5,10,3,0,0,2,1
2024-01-14,Nikola Jokic,Nets,Nuggets,30.2,18,7.6,3.3,15,6,4,1,4,3
2024-01-14,Jayson Tatum,Heat,Celtics,37.4,42,7.8,4.3,24,12,10,4,8,6
2024-01-14,Kevin Durant,Bulls,Suns,34.3,27,5.1,7.6,15,6,10,3,8,6
2024-01-14,Aaron Gordon,76ers,Lakers,29.2,11,3.6,2.9,14,5,3,1,1,0
2024-01-14,Yuta Watanabe,76ers,Nets,10.3,2,4.4,1.6,4,1,1,0,1,0
2024-01-14,Bam Adebayo,Spurs,Raptors,33.4,20,3.8,5.3,15,7,7,2,1,0
2024-01-14,Tyler Cook,Nuggets,Bucks,15.4,6,4.7,3.8,9,3,3,0,0,0
2024-01-14,Spencer Dinwiddie,Lakers,Nets,29.9,17,6.5,3.0,14,6,5,1,3,2
2024-01-15,Frank Ntilikina,Lakers,Suns,10.9,7,5.4,2.4,6,2,0,0,4,2
2024-01-15,Joel Embiid,Heat,Bulls,38.2,29,8.6,6.9,15,7,12,4,5,3
2024-01-15,Michael Porter Jr.,Heat,76ers,25.7,18,5.1,2.8,12,5,7,2,3,2
2024-01-15,Lou Dort,Lakers,Mavericks,26.4,17,6.9,5.7,11,4,6,2,5,3
2024-01-15,Dereck Lively II,Heat,Spurs,18.1,3,6.0,3.4,3,1,1,0,4,2
2024-01-15,Bam Adebayo,76ers,Spurs,32.5,20,5.4,5.5,12,5,7,2,5,4
2024-01-15,Jordan Poole,76ers,Heat,24.2,13,5.8,5.6,14,6,2,0,3,2
2024-01-15,Terry Rozier,Bucks,Clippers,32.0,14,4.5,5.7,14,6,3,0,3,2
2024-01-15,Cole Anthony,Clippers,Lakers,32.4,9,6.2,5.7,8,3,4,1,1,0
2024-01-15,Bojan Bogdanovic,Suns,Mavericks,25.6,12,7.2,4.6,13,6,3,0,1,0
2024-01-15,Devonte Graham,Clippers,Nets,16.0,5,3.8,2.9,3,1,5,1,1,0
2024-01-15,Kendall Brown,Celtics,Nets,11.1,8,5.2,1.0,9,3,0,0,4,3
2024-01-15,Myles Turner,Raptors,Bucks,25.7,20,3.4,5.2,15,6,7,2,1,0
2024-01-16,Donovan Mitchell,Warriors,Nuggets,39.0,32,10.6,8.8,20,10,11,3,4,3
2024-01-16,Jimmy Butler,Suns,Clippers,33.2,28,11.1,9.9,18,8,6,2,8,6
2024-01-16,Omari Moore,Bulls,76ers,8.6,6,5.7,2.9,8,2,3,0,3,2
2024-01-16,Lou Dort,Celtics,Suns,28.9,13,4.6,4.4,13,5,2,0,5,3
2024-01-16,A.J. Lawson,Mavericks,Bucks,8.7,3,4.0,0.8,3,1,1,0,1,0
2024-01-16,Spencer Dinwiddie,Raptors,Nuggets,34.0,15,3.2,5.3,9,4,6,2,2,1
2024-01-16,Zach LaVine,76ers,Bucks,24.1,13,6.6,2.6,10,4,5,1,3,2
2024-01-16,Moussa Diabate,Warriors,Nuggets,13.0,7,4.7,2.2,5,2,3,1,0,0
2024-01-16,AJ Green,Bulls,Warriors,20.2,8,1.5,1.9,8,3,2,0,4,2
2024-01-16,Trey Murphy III,Bulls,Nuggets,31.8,16,5.2,5.5,9,4,7,2,3,2
2024-01-16,Herbert Jones,Clippers,Nuggets,25.3,16,4.0,3.5,15,7,2,0,6,4
2024-01-16,Kyrie Irving,Lakers,Bulls,33.6,34,9.9,7.7,20,10,8,2,8,6
2024-01-16,Cam Johnson,Suns,Clippers,20.0,19,6.4,2.9,12,5,7,2,6,4
2024-01-16,Joel Embiid,Nets,Nuggets,35.3,46,11.6,7.6,25,13,12,5,6,5
2024-01-17,Marcus Smart,Heat,Nuggets,23.0,10,3.8,4.1,9,4,2,0,6,4
2024-01-17,Jordan Poole,Celtics,Bucks,23.0,13,7.5,3.2,10,4,2,0,6,4
2024-01-17,Tyrese Maxey,Spurs,Warriors,29.1,12,3.6,4.6,10,4,5,1,2,1
2024-01-17,Robert Williams III,Spurs,Raptors,28.0,14,5.1,5.4,15,7,2,0,1,0
2024-01-17,Nikola Jokic,Suns,Spurs,29.1,8,7.1,5.9,8,3,3,0,3,2
2024-01-17,Buddy Hield,Nets,Suns,31.1,14,6.1,5.4,14,6,3,0,3,2
2024-01-17,Spencer Dinwiddie,Bucks,Mavericks,33.7,10,7.8,3.8,12,5,2,0,1,0
2024-01-17,Nic Claxton,Bulls,Suns,28.1,14,4.4,5.0,9,4,7,2,3,2
2024-01-17,Caris LeVert,Raptors,Celtics,25.3,17,8.0,2.8,13,6,4,1,3,2
2024-01-17,Omari Moore,Heat,Nuggets,10.1,8,5.4,1.5,8,3,3,0,4,2
2024-01-17,Isaiah Stewart,Bucks,Cavaliers,26.9,15,7.1,3.1,8,3,6,2,4,3
2024-01-17,Lou Dort,Bucks,Mavericks,25.2,16,5.9,3.3,11,4,7,2,3,2
2024-01-17,Giannis Antetokounmpo,Clippers,Spurs,34.4,32,8.2,8.2,18,8,7,2,12,10
2024-01-17,Trae Young,76ers,Heat,36.9,25,10.2,4.2,22,9,5,1,5,4
2024-01-17,Devin Booker,Spurs,Bucks,35.3,26,10.2,8.1,18,8,5,1,9,7
2024-01-17,Shai Gilgeous-Alexander,Suns,Clippers,33.4,17,7.3,3.3,13,5,6,2,2,1
2024-01-18,DeMar DeRozan,76ers,Warriors,31.8,12,7.3,4.0,13,5,2,0,3,2
2024-01-18,Terry Rozier,Bulls,Heat,27.0,16,7.4,2.9,12,5,6,2,1,0
2024-01-18,Blake Wesley,Cavaliers,Nuggets,14.3,4,1.5,3.7,4,1,2,0,3,2
2024-01-18,Tyler Cook,Nets,Heat,17.7,6,4.1,0.1,8,3,2,0,0,0
2024-01-18,DeMar DeRozan,Clippers,Mavericks,26.6,10,4.8,5.6,13,5,3,0,1,0
2024-01-18,Franz Wagner,Lakers,Celtics,32.1,11,4.9,5.4,13,5,2,0,2,1
2024-01-18,Nic Claxton,Warriors,Suns,23.7,22,5.4,4.3,15,6,7,2,6,4
2024-01-18,Julius Randle,Heat,76ers,30.8,19,3.9,3.5,11,5,6,2,4,3
2024-01-18,Kai Jones,Cavaliers,Bucks,9.8,2,4.0,3.8,4,1,2,0,1,0
2024-01-19,Kyle Kuzma,Nets,Heat,21.1,12,7.0,3.5,8,3,6,2,1,0
2024-01-19,Desmond Bane,Spurs,Bulls,23.4,18,3.8,2.6,14,6,7,2,1,0
2024-01-19,CJ McCollum,Spurs,Nets,31.6,18,4.6,2.1,10,4,7,2,5,4
2024-01-19,Frank Ntilikina,Clippers,Lakers,14.9,7,6.0,3.7,6,2,1,0,2,1
2024-01-19,Blake Wesley,Spurs,Mavericks,11.4,5,2.3,3.1,5,1,5,1,0,0
2024-01-19,Giannis Antetokounmpo,Bulls,Celtics,32.8,31,5.9,8.4,16,6,8,3,11,9
2024-01-19,Maxi Kleber,76ers,Warriors,15.5,4,5.4,1.8,4,1,3,0,0,0
2024-01-19,JT Thor,Suns,Cavaliers,13.7,6,2.3,0.1,7,2,3,0,4,2
2024-01-19,Kevin Durant,Celtics,Cavaliers,38.6,27,10.4,4.6,16,8,6,2,6,5
2024-01-19,Moussa Diabate,Raptors,Spurs,16.2,7,1.2,3.5,10,3,0,0,2,1
2024-01-19,Brook Lopez,Nets,Mavericks,22.4,17,3.2,5.6,10,4,7,2,4,3
2024-01-19,Amari Bailey,Warriors,Nets,8.5,4,4.9,3.7,4,1,0,0,3,2
2024-01-19,Buddy Hield,Mavericks,Suns,28.5,12,4.0,4.1,11,5,2,0,3,2
2024-01-20,Scottie Barnes,Warriors,Bucks,23.5,12,3.3,4.7,9,3,5,1,4,3
2024-01-20,Desmond Bane,Bulls,76ers,25.5,13,4.2,5.8,13,6,2,0,2,1
2024-01-20,Devin Booker,Heat,Nuggets,31.9,37,6.1,9.9,24,11,7,2,12,9
2024-01-20,Devin Vassell,Heat,Bucks,29.0,16,6.2,5.1,10,4,7,2,3,2
2024-01-20,Devonte Graham,Warriors,Spurs,13.0,6,4.1,0.3,3,1,5,1,2,1
2024-01-20,Khris Middleton,Bulls,Warriors,22.9,16,3.4,3.6,8,3,6,2,5,4
2024-01-20,Amari Bailey,Suns,76ers,10.6,6,6.0,0.8,7,3,1,0,1,0
2024-01-20,Jusuf Nurkic,Bucks,Bulls,22.4,15,6.4,5.8,10,4,4,1,6,4
2024-01-20,Markelle Fultz,Bucks,Lakers,28.1,15,4.4,3.7,11,4,5,1,6,4
2024-01-20,Jaren Jackson Jr.,Warriors,Cavaliers,26.0,20,6.9,3.8,14,6,7,2,3,2
2024-01-20,Khris Middleton,Cavaliers,Warriors,26.6,16,7.3,3.1,13,5,5,1,4,3
2024-01-20,Dominick Barlow,Suns,Cavaliers,18.3,7,2.3,1.4,6,2,5,1,4,2
2024-01-21,Keita Bates-Diop,Lakers,Cavaliers,20.4,9,1.0,2.6,9,3,1,0,4,3
2024-01-21,Rudy Gobert,Bulls,Nets,21.8,11,3.4,3.6,8,3,5,1,4,2
2024-01-21,Anthony Davis,Raptors,Spurs,32.8,36,8.1,7.4,22,10,11,3,10,7
2024-01-21,Gordon Hayward,Warriors,Bucks,31.9,14,7.9,4.0,11,5,6,2,1,0
2024-01-21,Trae Young,Lakers,Cavaliers,35.2,26,7.7,4.6,15,7,9,2,10,8
2024-01-21,Jalen Brunson,Celtics,76ers,24.4,12,7.0,5.4,10,4,7,2,1,0
2024-01-21,Ish Wainright,Nuggets,Heat,18.5,11,2.6,1.0,7,3,0,0,4,3
2024-01-21,Marcus Smart,Bulls,Nuggets,26.6,15,6.0,4.2,9,4,5,1,6,4
2024-01-22,Al Horford,Bulls,Celtics,26.7,16,7.1,2.2,15,6,4,1,2,1
2024-01-22,MarJon Beauchamp,Heat,Celtics,10.7,10,5.5,0.8,10,4,3,1,2,1
2024-01-22,Shai Gilgeous-Alexander,Bulls,76ers,30.9,12,4.1,5.9,9,3,6,2,1,0
2024-01-22,Jayson Tatum,Clippers,Bulls,31.7,32,10.4,7.4,22,10,6,2,8,6
2024-01-22,Jusuf Nurkic,Bulls,Lakers,24.3,13,7.3,2.8,10,4,3,0,5,3
2024-01-22,Grayson Allen,Lakers,Clippers,16.8,4,1.5,1.6,6,2,2,0,1,0
2024-01-22,Deandre Ayton,Mavericks,Bucks,28.4,14,4.1,4.4,8,3,7,2,4,2
2024-01-22,Matisse Thybulle,Nuggets,Clippers,21.2,16,6.3,4.4,15,6,5,1,2,1
2024-01-22,Grayson Allen,Warriors,Nuggets,16.0,4,1.9,2.1,7,2,3,0,2,1
2024-01-22,Jevon Carter,Raptors,Nuggets,16.4,9,4.7,3.6,8,2,4,1,3,2
2024-01-22,Malcolm Brogdon,Suns,Clippers,27.5,14,5.1,5.2,11,4,4,1,3,2
2024-01-23,Anthony Davis,76ers,Cavaliers,35.0,36,5.8,8.5,25,12,7,3,4,3
2024-01-23,Keldon Johnson,Bucks,Clippers,31.4,20,6.8,5.2,13,6,3,1,4,3
2024-01-23,Markieff Morris,Warriors,Spurs,10.3,6,4.6,0.4,4,1,5,1,2,1
2024-01-23,Cade Cunningham,Bulls,76ers,29.4,6,6.2,3.1,9,3,3,0,2,1
2024-01-23,DeMar DeRozan,Heat,Suns,26.3,8,3.1,6.0,10,4,2,0,2,1
2024-01-23,Zion Williamson,Warriors,Bulls,30.7,9,6.9,5.4,12,4,2,0,2,1
2024-01-23,Rudy Gobert,Cavaliers,Suns,22.2,17,6.7,5.7,12,5,6,1,5,4
2024-01-23,Victor Wembanyama,Clippers,Lakers,20.7,9,3.7,4.4,11,4,2,0,2,1
2024-01-23,Theo Maledon,Suns,Nets,10.8,4,4.3,3.9,4,1,2,0,3,2
2024-01-23,Buddy Hield,Heat,Celtics,27.8,11,3.6,5.3,10,4,2,0,2,1
2024-01-23,Stephen Curry,Spurs,Cavaliers,34.8,35,10.3,4.5,24,12,7,2,6,5
2024-01-24,Chet Holmgren,76ers,Raptors,29.9,17,7.2,3.4,10,4,7,2,5,3
2024-01-24,Nikola Jokic,Cavaliers,Mavericks,27.0,17,3.2,4.7,13,5,7,2,2,1
2024-01-24,Jamal Murray,Warriors,Nets,20.8,14,5.9,5.4,9,3,4,1,4,3
2024-01-24,Kyle Kuzma,Clippers,Mavericks,24.1,10,5.0,5.6,9,4,3,0,3,2
2024-01-24,Moussa Diabate,Spurs,Bulls,14.0,4,5.6,0.2,3,1,3,0,4,2
2024-01-24,Drew Eubanks,Nuggets,Bulls,15.0,6,3.3,3.7,10,3,0,0,1,0
2024-01-24,Aaron Gordon,Clippers,Nets,30.7,15,4.9,4.0,11,4,5,1,3,2
2024-01-24,Draymond Green,Bucks,Clippers,30.9,18,6.5,5.6,12,5,6,2,3,2
2024-01-24,Chimezie Metu,Clippers,Raptors,17.2,6,5.3,2.7,10,3,1,0,1,0
2024-01-24,Derrick White,Warriors,Suns,32.7,10,6.6,2.1,8,3,4,1,2,1
2024-01-24,Fred VanVleet,Clippers,Spurs,27.3,13,3.6,5.0,11,5,5,1,1,0
